,Course Title,Course Code,R1 Points,R2 Points ,EOS Midpoints,Course Level,HEI
0,Music and Instrument Technology,AL605,211,,319,6,Athlone Institute of Technology
1,Pharmacy Technician,AL630,308,,409,6,Athlone Institute of Technology
2,Dental Nursing,AL631,311,,400,6,Athlone Institute of Technology
3,Applied Science,AL632,297,,454,6,Athlone Institute of Technology
4,Business,AL650,AQA,AQA,351,6,Athlone Institute of Technology
5,Culinary Arts,AL660,AQA,AQA,271,6,Athlone Institute of Technology
6,Bar Supervision,AL661,AQA,,279,6,Athlone Institute of Technology
7,Business (Sport and Recreation),AL663,AQA,AQA,311,6,Athlone Institute of Technology
8,Computer Engineering for Network Infrastructure,AL701,207,,382,7,Athlone Institute of Technology
9,Software Design in Artificial Intelligence for Cloud Computing,AL702,220,,381,7,Athlone Institute of Technology
10,Software Design for Virtual Reality and Gaming,AL703,211,,349,7,Athlone Institute of Technology
11,Computer Engineering,AL704,210,,368,7,Athlone Institute of Technology
12,Software Design for Mobile Apps and Connected Devices,AL705,250,,323,7,Athlone Institute of Technology
13,Mechanical Engineering,AL710,243,,340,7,Athlone Institute of Technology
14,Mechanical Engineering and Renewable Energy,AL711,238,,389,7,Athlone Institute of Technology
15,Automation and Robotics,AL712,247,,434,7,Athlone Institute of Technology
16,Engineering (Common Entry to Automation and Robotics/Renewable/Mech Eng),AL713,226,,387,7,Athlone Institute of Technology
17,Music and Sound Engineering,AL718,242,,363,7,Athlone Institute of Technology
18,Civil Engineering,AL721,242,,409,7,Athlone Institute of Technology
19,Biotechnology,AL730,261,,444,7,Athlone Institute of Technology
20,Veterinary Nursing,AL731,421,,498,7,Athlone Institute of Technology
21,Pharmaceutical Sciences (Drug Development and Analysis),AL734,244,,403,7,Athlone Institute of Technology
22,Exercise and Health Science,AL740,251,,418,7,Athlone Institute of Technology
23,Digital Marketing,AL751,241,,398,7,Athlone Institute of Technology
24,Business,AL752,223,,412,7,Athlone Institute of Technology
25,Hotel and Leisure Management,AL761,AQA,AQA,306,7,Athlone Institute of Technology
26,Graphic Design (portfolio),AL763,642,,811,7,Athlone Institute of Technology
27,Early Years Care and Education,AL764,260,,408,7,Athlone Institute of Technology
28,Applied Social Studies in Social Care,AL765,300,,386,7,Athlone Institute of Technology
29,Software Design for Virtual Reality and Gaming,AL801,300,,359,8,Athlone Institute of Technology
30,Software Design in Artificial Intelligence for Cloud Computing,AL802,313,,381,8,Athlone Institute of Technology
31,Software Design for Mobile Apps and Connected Devices,AL803,350,,398,8,Athlone Institute of Technology
32,Computer Engineering for Network Infrastructure,AL805,321,,381,8,Athlone Institute of Technology
33,Quantity Surveying,AL810,328,,377,8,Athlone Institute of Technology
34,Civil Engineering,AL811,,,0,8,Athlone Institute of Technology
35,Mechanical and Polymer Engineering,AL820,327,,398,8,Athlone Institute of Technology
36,General Nursing,AL830,451,444,455,8,Athlone Institute of Technology
37,Mental Health Nursing,AL832,440,431,451,8,Athlone Institute of Technology
38,Pharmacology,AL835,356,,429,8,Athlone Institute of Technology
39,Nutrition and Health Science,AL836,346,,398,8,Athlone Institute of Technology
40,Sports Science with Exercise Physiology,AL837,357,,409,8,Athlone Institute of Technology
41,Biotechnology,AL838,324,,434,8,Athlone Institute of Technology
42,Microbiology,AL839,325,,408,8,Athlone Institute of Technology
43,Pharmaceutical Sciences,AL840,346,,402,8,Athlone Institute of Technology
44,Athletic and Rehabilitation Therapy,AL841,477,476,489,8,Athlone Institute of Technology
45,Bioveterinary Science,AL842,338,,413,8,Athlone Institute of Technology
46,Physical Activity and Health Science,AL843,306,,358,8,Athlone Institute of Technology
47,Culinary Entrepreneurship,AL849,297,,327,8,Athlone Institute of Technology
48,Business,AL850,309,,369,8,Athlone Institute of Technology
49,Business and Law,AL851,302,,357,8,Athlone Institute of Technology
50,Accounting,AL852,336,,466,8,Athlone Institute of Technology
51,Sport Management (with international placement),AL854,300,299,349,8,Athlone Institute of Technology
52,Hospitality Management (with international placement),AL855,309,,378,8,Athlone Institute of Technology
53,Digital Marketing,AL857,304,,398,8,Athlone Institute of Technology
54,International Business,AL859,308,,371,8,Athlone Institute of Technology
55,Social Care Practice,AL860,301,,359,8,Athlone Institute of Technology
56,Animation and Illustration (portfolio),AL861,575,,760,8,Athlone Institute of Technology
57,Graphic and Digital Design (portfolio),AL863,747,,808,8,Athlone Institute of Technology
58,Early Years Care and Education,AL864,306,,366,8,Athlone Institute of Technology
59,Applied Psychology,AL870,484,467,480,8,Athlone Institute of Technology
60,Business,CW006,171,157,281,6,"Institute of Technology, Carlow"
61,Business (options),CW018,307,,381,8,"Institute of Technology, Carlow"
62,Sustainable Farm Management and Agribusiness,CW027,236,222,342,7,"Institute of Technology, Carlow"
63,Early Childhood Education and Care,CW028,260,,378,8,"Institute of Technology, Carlow"
64,Business (options),CW037,279,,429,7,"Institute of Technology, Carlow"
65,Art (portfolio),CW038,#700,,700,8,"Institute of Technology, Carlow"
66,Visual Communications and Design,CW047,241,,372,7,"Institute of Technology, Carlow"
67,Creative Computing and Digital Innovation,CW048,,,0,8,"Institute of Technology, Carlow"
68,Art (portfolio),CW057,#700,,700,7,"Institute of Technology, Carlow"
69,Tourism and Event Management,CW058,292,,356,8,"Institute of Technology, Carlow"
70,Applied Social Studies in Professional Social Care,CW068,250,,306,8,"Institute of Technology, Carlow"
71,Tourism and Event Management,CW077,223,,398,7,"Institute of Technology, Carlow"
72,Sustainable Farm Management and Agribusiness,CW078,270,,363,8,"Institute of Technology, Carlow"
73,Creative Computing and Digital Innovation,CW087,,,0,7,"Institute of Technology, Carlow"
74,Visual Communications and Design,CW088,270,,290,8,"Institute of Technology, Carlow"
75,Physiology and Health Science,CW106,451,,528,6,"Institute of Technology, Carlow"
76,Analytical Science,CW107,261,,466,7,"Institute of Technology, Carlow"
77,Science (options),CW108,266,,361,8,"Institute of Technology, Carlow"
78,Pharmacy Technician Studies,CW116,224,,376,6,"Institute of Technology, Carlow"
79,Biosciences,CW117,215,,445,7,"Institute of Technology, Carlow"
80,Science - Applied Biology or Applied Chemistry,CW126,251,,408,6,"Institute of Technology, Carlow"
81,Brewing and Distilling,CW128,307,,349,8,"Institute of Technology, Carlow"
82,Sport and Exercise Science,CW138,430,423,462,8,"Institute of Technology, Carlow"
83,Strength and Conditioning,CW148,388,,409,8,"Institute of Technology, Carlow"
84,Sport Rehabilitation and Athletic Therapy,CW188,451,,488,8,"Institute of Technology, Carlow"
85,Computing - Applications or Programming,CW206,236,,299,6,"Institute of Technology, Carlow"
86,Software Development,CW207,245,,395,7,"Institute of Technology, Carlow"
87,Computer Games Development,CW208,272,,333,8,"Institute of Technology, Carlow"
88,Information Technology Management,CW217,269,,368,7,"Institute of Technology, Carlow"
89,Cybercrime and IT Security,CW227,220,,360,7,"Institute of Technology, Carlow"
90,Computing in Interactive Digital Art and Design,CW237,227,,378,7,"Institute of Technology, Carlow"
91,Software Development,CW238,295,,387,8,"Institute of Technology, Carlow"
92,Information Technology Management,CW248,293,,338,8,"Institute of Technology, Carlow"
93,Cybercrime and IT Security,CW258,292,,382,8,"Institute of Technology, Carlow"
94,Computing in Interactive Digital Art and Design,CW268,291,,384,8,"Institute of Technology, Carlow"
95,Architectural Technology,CW407,234,,369,7,"Institute of Technology, Carlow"
96,Construction Management with Building Services,CW417,225,205,361,7,"Institute of Technology, Carlow"
97,Civil Engineering,CW427,208,,346,7,"Institute of Technology, Carlow"
98,Construction (options),CW438,260,251,336,8,"Institute of Technology, Carlow"
99,Architectural Technology,CW468,291,283,353,8,"Institute of Technology, Carlow"
100,Civil Engineering,CW478,465,,465,8,"Institute of Technology, Carlow"
101,Aircraft Systems,CW507,293,,408,7,"Institute of Technology, Carlow"
102,Mechanical Engineering,CW517,290,280,400,7,"Institute of Technology, Carlow"
103,Electronic Engineering,CW527,226,,371,7,"Institute of Technology, Carlow"
104,TV and Media Production,CW547,303,,382,7,"Institute of Technology, Carlow"
105,Mechanical Engineering,CW548,330,328,396,8,"Institute of Technology, Carlow"
106,Electronic Systems,CW558,280,,380,8,"Institute of Technology, Carlow"
107,Aerospace Engineering,CW568,371,359,433,8,"Institute of Technology, Carlow"
108,TV and Media Production,CW578,318,,358,8,"Institute of Technology, Carlow"
109,Legal Studies,CW706,174,,357,6,"Institute of Technology, Carlow"
110,Industrial Design,CW707,241,,478,7,"Institute of Technology, Carlow"
111,Law - LLB,CW708,292,,390,8,"Institute of Technology, Carlow"
112,Professional Social Care Practice,CW717,271,262,360,7,"Institute of Technology, Carlow"
113,Product Design Innovation,CW728,246,,370,8,"Institute of Technology, Carlow"
114,Early Childhood Education and Care,CW748,290,,377,8,"Institute of Technology, Carlow"
115,Professional Social Care Practice,CW758,360,358,397,8,"Institute of Technology, Carlow"
116,Sport Coaching and Business Management - GAA (portfolio),CW807,700,,700,7,"Institute of Technology, Carlow"
117,Media and Public Relations,CW808,247,,316,8,"Institute of Technology, Carlow"
118,Sport Coaching and Business Management - Rugby (portfolio),CW817,700,,700,7,"Institute of Technology, Carlow"
119,Sport Coaching and Business Management - Soccer (portfolio),CW827,700,,700,7,"Institute of Technology, Carlow"
120,Digital Marketing with Analytics,CW837,215,,349,7,"Institute of Technology, Carlow"
121,Digital Marketing with Analytics,CW848,269,,336,8,"Institute of Technology, Carlow"
122,"Sports Management and Coaching (options, portfolio)",CW858,700,,700,8,"Institute of Technology, Carlow"
123,Business,CW906,164,,309,6,"Institute of Technology, Carlow"
124,Business (options),CW908,272,,348,8,"Institute of Technology, Carlow"
125,Business (options),CW917,228,,387,7,"Institute of Technology, Carlow"
126,Business with Law,CW926,204,,440,6,"Institute of Technology, Carlow"
127,Accounting,CW936,207,,442,6,"Institute of Technology, Carlow"
128,Business with Law,CW938,270,,382,8,"Institute of Technology, Carlow"
129,Accounting,CW948,319,,454,8,"Institute of Technology, Carlow"
